"id","name","parent_id","parent_name"
1,Одежда,0,""
2,Обувь,0,""
3,Аксессуары,0,""
4,Белье,0,""
6,Головные уборы,0,""
7,Игрушки,0,""
11,Брюки,1,Одежда
24,Кольца,200,Бижутерия
27,Шкатулки,195,Дом
28,Фоторамки,195,Дом
33,Балетки,2,Обувь
38,Юбки,1,Одежда
41,Блузки,1,Одежда
49,Красота,0,""
50,Сумки,3,Аксессуары
51,Ремни,3,Аксессуары
52,Кошельки,3,Аксессуары
53,Зажигалки,6249,Товары для курения
54,Ювелирные кольца,204,Ювелирные украшения
56,Платки,3,Аксессуары
57,Шарфы,3,Аксессуары
58,Палантины,3,Аксессуары
59,Солнцезащитные очки,3,Аксессуары
60,Часы наручные,3,Аксессуары
61,Зонты,3,Аксессуары
62,Галстуки,3,Аксессуары
63,Зеркальца,3,Аксессуары
64,Пояса,3,Аксессуары
69,Платья,1,Одежда
70,Сарафаны,1,Одежда
71,Неглиже,4,Белье
74,Корсеты,4,Белье
75,Боди,4,Белье
76,Бюстгальтеры,4,Белье
77,Аксессуары для кукол,7,Игрушки
79,Наушники утепленные,6,Головные уборы
80,Игрушечные музыкальные инструменты,7,Игрушки
82,Шапки,6,Головные уборы
83,Береты,6,Головные уборы
84,Бейсболки,6,Головные уборы
87,Машинки,7,Игрушки
89,Раздельные купальники,4,Белье
90,Слитные купальники,4,Белье
92,Танкини,4,Белье
93,Босоножки,2,Обувь
94,Ботинки,2,Обувь
95,Мокасины,2,Обувь
96,Туалетная вода,49,Красота
97,Полусапожки,2,Обувь
98,Сабо,2,Обувь
99,Сапоги,2,Обувь
100,Туфли,2,Обувь
101,Угги,2,Обувь
102,Фламенко,3497,Спортивная обувь
103,Сандалии,2,Обувь
104,Кеды,2,Обувь
105,Кроссовки,2,Обувь
106,Тапочки,2,Обувь
107,Шлепанцы,2,Обувь
108,Пинетки,4607,Одежда для малышей
109,Пантолеты,2,Обувь
115,Каталки,7,Игрушки
117,Конструкторы,7,Игрушки
118,Пазлы,7,Игрушки
119,Наборы для рисования,1284,Рукоделие
120,Настольные игры,7,Игрушки
121,Железные дороги,7,Игрушки
122,Роботы,7,Игрушки
123,Радиоуправляемые игрушки,7,Игрушки
124,Игрушечное оружие,7,Игрушки
125,Куклы,7,Игрушки
126,Игрушечная посуда,7,Игрушки
128,Бутсы,3497,Спортивная обувь
129,Коньки,239,Спортивный товар
130,Шиповки,3497,Спортивная обувь
131,Майки бельевые,4,Белье
132,Плавки,4,Белье
133,Трусы,4,Белье
136,Клатчи,3,Аксессуары
138,Рюкзаки,3,Аксессуары
147,Бриджи,1,Одежда
148,Леггинсы,1,Одежда
149,Пиджаки,1,Одежда
150,Туники,1,Одежда
151,Шорты,1,Одежда
153,Водолазки,1,Одежда
155,Жакеты,1,Одежда
156,Жилеты,1,Одежда
157,Комбинезоны,1,Одежда
158,Твинсеты,1,Одежда
159,Свитшоты,1,Одежда
160,Пуловеры,1,Одежда
161,Кофты,1,Одежда
162,Пижамы,1,Одежда
163,Свитеры,1,Одежда
165,Комплекты белья,4,Белье
166,Термокомплекты,4,Белье
168,Куртки,1,Одежда
170,Пальто,1,Одежда
171,Плащи,1,Одежда
172,Ветровки,1,Одежда
173,Шубы натуральные,1,Одежда
174,Пуховики,1,Одежда
177,Костюмы,1,Одежда
180,Джинсы,1,Одежда
184,Рубашки,1,Одежда
185,Топы,1,Одежда
191,Кардиганы,1,Одежда
192,Футболки,1,Одежда
193,Тренчкоты,1,Одежда
195,Дом,0,""
196,Часы настольные,195,Дом
197,Постельное белье,195,Дом
198,Интерьерные зеркала,7580,Мебель
199,Сахарницы,1590,Посуда и инвентарь
200,Бижутерия,0,""
201,Браслеты,200,Бижутерия
202,Колье,200,Бижутерия
203,Серьги,200,Бижутерия
204,Ювелирные украшения,0,""
205,Ювелирные браслеты,204,Ювелирные украшения
206,Ювелирные колье,204,Ювелирные украшения
207,Ювелирные серьги,204,Ювелирные украшения
208,Варежки,3,Аксессуары
209,Блейзеры,1,Одежда
211,Халаты банные,1,Одежда
212,Носки,4,Белье
213,Колготки,4,Белье
214,Чулки,4,Белье
215,Джемперы,1,Одежда
216,Бермуды,1,Одежда
217,Лонгсливы,1,Одежда
218,Гольфы,4,Белье
219,Футболки-поло,1,Одежда
223,Вазы,195,Дом
224,Статуэтки,195,Дом
225,Болеро,1,Одежда
226,Перчатки,3,Аксессуары
227,Игрушки для ванной,7,Игрушки
229,Митенки,3,Аксессуары
231,Скатерти,195,Дом
232,Сникеры,2,Обувь
233,Толстовки,1,Одежда
234,Копилки,195,Дом
235,Фотоальбомы,195,Дом
236,Фигурки,195,Дом
238,Эспадрильи,2,Обувь
239,Спортивный товар,0,""
240,Щитки,1605,Спортивные аксессуары
247,Клюшки,239,Спортивный товар
248,Шлемы спортивные,1605,Спортивные аксессуары
249,Эспандеры,239,Спортивный товар
250,Очки для плавания,1605,Спортивные аксессуары
252,Гетры,4,Белье
253,Шапочки для плавания,1605,Спортивные аксессуары
254,Полотенца банные,195,Дом
255,Панамы,6,Головные уборы
256,Повязки на голову,6,Головные уборы
257,Для праздника,0,""
260,Елки,257,Для праздника
261,Мишура,257,Для праздника
262,Елочные украшения,257,Для праздника
263,Дождик,257,Для праздника
264,Гирлянды интерьерные,257,Для праздника
265,Снежинки,257,Для праздника
267,Игровые наборы,7,Игрушки
268,Мягкие игрушки,7,Игрушки
270,Свечи,195,Дом
271,Маски сувенирные,195,Дом
272,Подсвечники,195,Дом
273,Венки декоративные,257,Для праздника
274,Вратарские перчатки,1605,Спортивные аксессуары
276,Ползунки,4607,Одежда для малышей
277,Распашонки,4607,Одежда для малышей
278,Подтяжки,3,Аксессуары
279,Шали,3,Аксессуары
280,Шляпы,6,Головные уборы
282,Корсажи,4,Белье
283,Резиновые сапоги,2,Обувь
284,Карнавальные костюмы,1,Одежда
285,Ночные сорочки,1,Одежда
286,Конверты для малышей,4607,Одежда для малышей
287,Банданы,3,Аксессуары
288,Напульсники,1605,Спортивные аксессуары
289,Накидки,1,Одежда
291,Фигурки-игрушки,7,Игрушки
293,Цепочки на тело,200,Бижутерия
295,Броши,200,Бижутерия
296,Заколки клик-клак,1465,Аксессуары для волос
297,Брелоки,200,Бижутерия
298,Подвески бижутерные,200,Бижутерия
299,Ювелирные подвески,204,Ювелирные украшения
300,Ювелирные цепочки,204,Ювелирные украшения
301,Цепочки,200,Бижутерия
302,Запонки,200,Бижутерия
303,Ключницы,3,Аксессуары
305,Косметички,3,Аксессуары
308,Маникюрные наборы,49,Красота
309,Чепчики,4823,Аксессуары для малышей
310,Погремушки,7,Игрушки
311,Пеналы,571,Канцелярские товары
313,Капри,1,Одежда
316,Визитницы,3,Аксессуары
317,Ручки,571,Канцелярские товары
318,Ботфорты,2,Обувь
319,Одеяла,195,Дом
320,Простыни,195,Дом
321,Пледы,195,Дом
322,Дубленки,1,Одежда
323,Сито,1590,Посуда и инвентарь
324,Ободки,1465,Аксессуары для волос
326,Спальники туристические,239,Спортивный товар
328,Наборы для лепки,1284,Рукоделие
